date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:10:57	165742/165742	URF---	200	added ('OK%20(cached)')	application/eot		http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.eot?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.eot	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:57	165742/165742	URF---	200	added ('OK%20(cached)')	application/eot		http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfontd41d.eot?	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfontd41dd41d.eot	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:57	507/507	---M--	200	added ('OK')	text/html	etag:W/%221fb-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-3.html	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-3.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
17:10:57	165548/165548	---M--	200	added ('OK')	application/x-font-ttf	etag:W/%22286ac-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.ttf	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:57	506/506	---M--	200	added ('OK')	text/html	etag:W/%221fa-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-4.html	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-4.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
17:10:57	77160/77160	URF---	200	added ('OK%20(cached)')	application/woff2		http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.woff2?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff2	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:57	98024/98024	URF---	200	added ('OK%20(cached)')	application/woff		http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.woff?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.woff	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:10:58	506/506	---M--	200	added ('OK')	text/html	etag:W/%221fa-1717075f1b0%22	http://homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-5.html	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/glyphicons-halflings-regular-5.html	(from http://homeeat.herokuapp.com/assets/css/bootstrap.min.css)
17:10:59	165548/165548	URF---	200	added ('OK%20(cached)')	application/ttf		http://homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e.ttf?v=4.7.0	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/fonts/fontawesome-webfont3e6e3e6e.ttf	(from http://homeeat.herokuapp.com/assets/css/icons.min.css)
17:11:01	87184/87184	---M--	200	added ('OK')	text/css	etag:W/%2215490-1717075f1b0%22	http://homeeat.herokuapp.com/assets/css/plugins.css	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/css/plugins.css	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:02	7899/7899	---M--	200	added ('OK')	image/png	etag:W/%221edb-1717075f1b0%22	http://homeeat.herokuapp.com/assets/images/menu-strip.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/menu-strip.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:04	31629/31629	---M--	200	added ('OK')	image/png	etag:W/%227b8d-1717075f1b0%22	http://homeeat.herokuapp.com/assets/images/locat-bg.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/locat-bg.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
17:11:04	9024/9024	---M--	200	added ('OK')	image/png	etag:W/%222340-1717075f1b0%22	http://homeeat.herokuapp.com/assets/images/error-bg2.png	/home/ultr4/websites/Homeeat/homeeat.herokuapp.com/assets/images/error-bg2.png	(from http://homeeat.herokuapp.com/assets/css/main.css)
